date,name,category,value
2019-08-07,Nothing But Thieves,,10
2019-08-07,Foo Fighters,,8
2019-08-07,The Neighbourhood,,8
2019-08-07,Prateek Kuhad,,7
2019-08-07,Julian Casablancas,,6
2019-08-07,Radiohead,,5
2019-08-07,Albert Hammond, Jr.,,4
2019-08-07,Daft Punk,,4
2019-08-07,Vance Joy,,4
2019-08-07,Guns N' Roses,,3
2019-08-07,Hozier,,3
2019-08-07,José González,,3
2019-08-07,MGMT,,3
2019-08-07,Pink Floyd,,3
2019-08-07,Ray LaMontagne,,3
2019-08-07,Bastille,,2
2019-08-07,Franz Ferdinand,,2
2019-08-07,Gorillaz,,2
2019-08-07,Mumford & Sons,,2
2019-08-07,Nickelback,,2
2019-08-07,Passenger,,2
2019-08-07,Pixies,,2
2019-08-07,The 1975,,2
2019-08-07,The Velvet Underground,,2
2019-08-07,3 Doors Down,,1
2019-08-07,American Authors,,1
2019-08-07,Anna Rouse,,1
2019-08-07,Apocalypse,,1
2019-08-07,Avicii,,1
2019-08-07,Avril Lavigne,,1
2019-08-07,Ayo & Teo,,1
2019-08-07,Cage the Elephant,,1
2019-08-07,Childish Gambino,,1
2019-08-07,George Ezra,,1
2019-08-07,Hans Zimmer,,1
2019-08-07,Ice Cube,,1
2019-08-07,Jason Mraz,,1
2019-08-07,John Denver,,1
2019-08-07,Joji,,1
2019-08-08,The Strokes,,74
2019-08-08,The Rolling Stones,,38
2019-08-08,Arctic Monkeys,,33
2019-08-08,Kendrick Lamar,,32
2019-08-08,The Lumineers,,26
2019-08-08,Red Hot Chili Peppers,,23
2019-08-08,Sublime,,23
2019-08-08,The Last Shadow Puppets,,23
2019-08-08,Tame Impala,,20
2019-08-08,Kodaline,,14
2019-08-08,Green Day,,13
2019-08-08,Nothing But Thieves,,10
2019-08-08,Prateek Kuhad,,10
2019-08-08,Foo Fighters,,9
2019-08-08,The Neighbourhood,,8
2019-08-08,Vance Joy,,7
2019-08-08,Julian Casablancas,,6
2019-08-08,Radiohead,,5
2019-08-08,Albert Hammond, Jr.,,4
2019-08-08,Daft Punk,,4
2019-08-08,Gorillaz,,3
2019-08-08,Guns N' Roses,,3
2019-08-08,Hozier,,3
2019-08-08,Ice Cube,,3
2019-08-08,José González,,3
2019-08-08,MGMT,,3
2019-08-08,Pink Floyd,,3
2019-08-08,Ray LaMontagne,,3
2019-08-08,Bastille,,2
2019-08-08,Eminem,,2
2019-08-08,Franz Ferdinand,,2
2019-08-08,Mumford & Sons,,2
2019-08-08,Nickelback,,2
2019-08-08,Passenger,,2
2019-08-08,Pixies,,2
2019-08-08,The 1975,,2
2019-08-08,The Velvet Underground,,2
2019-08-08,3 Doors Down,,1
2019-08-08,Afroman,,1
2019-08-08,American Authors,,1
2019-08-08,Anna Rouse,,1
2019-08-08,Apocalypse,,1
2019-08-08,Avicii,,1
2019-08-08,Avril Lavigne,,1
2019-08-08,Ayo & Teo,,1
2019-08-08,Cage the Elephant,,1
2019-08-08,Childish Gambino,,1
2019-08-08,George Ezra,,1
2019-08-08,Hans Zimmer,,1
2019-08-08,Jason Mraz,,1
2019-08-09,The Strokes,,74
2019-08-09,The Rolling Stones,,38
2019-08-09,Arctic Monkeys,,34
2019-08-09,Kendrick Lamar,,34
2019-08-09,Red Hot Chili Peppers,,27
2019-08-09,The Lumineers,,26
2019-08-09,Sublime,,25
2019-08-09,The Last Shadow Puppets,,23
2019-08-09,Tame Impala,,20
2019-08-09,Julian Casablancas,,15
2019-08-09,Kodaline,,14
2019-08-09,Green Day,,13
2019-08-09,Foo Fighters,,10
2019-08-09,Nothing But Thieves,,10
2019-08-09,Prateek Kuhad,,10
2019-08-09,The Neighbourhood,,9
2019-08-09,Vance Joy,,7
2019-08-09,Ice Cube,,5
2019-08-09,Radiohead,,5
2019-08-09,Albert Hammond, Jr.,,4
2019-08-09,Daft Punk,,4
2019-08-09,Gorillaz,,4
2019-08-09,Guns N' Roses,,3
2019-08-09,Hozier,,3
2019-08-09,José González,,3
2019-08-09,MGMT,,3
2019-08-09,Nickelback,,3
2019-08-09,Pink Floyd,,3
2019-08-09,Ray LaMontagne,,3
2019-08-09,Bastille,,2
2019-08-09,Eminem,,2
2019-08-09,Franz Ferdinand,,2
2019-08-09,Mumford & Sons,,2
2019-08-09,Passenger,,2
2019-08-09,Pixies,,2
2019-08-09,The 1975,,2
2019-08-09,The Velvet Underground,,2
2019-08-09,3 Doors Down,,1
2019-08-09,Afroman,,1
2019-08-09,American Authors,,1
2019-08-09,Anna Rouse,,1
2019-08-09,Apocalypse,,1
2019-08-09,Avicii,,1
2019-08-09,Avril Lavigne,,1
2019-08-09,Ayo & Teo,,1
2019-08-09,Cage the Elephant,,1
2019-08-09,Childish Gambino,,1
2019-08-09,George Ezra,,1
2019-08-09,Hans Zimmer,,1
2019-08-09,Jason Mraz,,1
2019-08-10,The Strokes,,74
2019-08-10,The Rolling Stones,,38
2019-08-10,Arctic Monkeys,,34
2019-08-10,Kendrick Lamar,,34
2019-08-10,Red Hot Chili Peppers,,27
2019-08-10,The Lumineers,,26
2019-08-10,Sublime,,25
2019-08-10,The Last Shadow Puppets,,23
2019-08-10,Tame Impala,,20
2019-08-10,Julian Casablancas,,15
2019-08-10,Kodaline,,14
2019-08-10,Green Day,,13
2019-08-10,Foo Fighters,,10
2019-08-10,Nothing But Thieves,,10
2019-08-10,Prateek Kuhad,,10
2019-08-10,The Neighbourhood,,9
2019-08-10,Vance Joy,,7
2019-08-10,Daft Punk,,5
2019-08-10,Ice Cube,,5
2019-08-10,Radiohead,,5
2019-08-10,Albert Hammond, Jr.,,4
2019-08-10,Gorillaz,,4
2019-08-10,Guns N' Roses,,3
2019-08-10,Hozier,,3
2019-08-10,José González,,3
2019-08-10,MGMT,,3
2019-08-10,Nickelback,,3
2019-08-10,Pink Floyd,,3
2019-08-10,Ray LaMontagne,,3
2019-08-10,Bastille,,2
2019-08-10,Calvin Harris,,2
2019-08-10,Eminem,,2
2019-08-10,Franz Ferdinand,,2
2019-08-10,Mumford & Sons,,2
2019-08-10,Passenger,,2
2019-08-10,Pixies,,2
2019-08-10,R.E.M.,,2
2019-08-10,Rick Astley,,2
2019-08-10,The 1975,,2
2019-08-10,The Velvet Underground,,2
2019-08-10,Tove Lo,,2
2019-08-10,3 Doors Down,,1
2019-08-10,Afroman,,1
2019-08-10,American Authors,,1
2019-08-10,Anna Rouse,,1
2019-08-10,Apocalypse,,1
2019-08-10,Aretha Franklin,,1
2019-08-10,Avicii,,1
2019-08-10,Avril Lavigne,,1
2019-08-10,Ayo & Teo,,1
2019-08-11,The Strokes,,74
2019-08-11,The Rolling Stones,,38
2019-08-11,Arctic Monkeys,,34
2019-08-11,Kendrick Lamar,,34
2019-08-11,Red Hot Chili Peppers,,29
2019-08-11,The Lumineers,,27
2019-08-11,Sublime,,25
2019-08-11,The Last Shadow Puppets,,23
2019-08-11,Tame Impala,,20
2019-08-11,Julian Casablancas,,15
2019-08-11,Green Day,,14
2019-08-11,Kodaline,,14
2019-08-11,Foo Fighters,,11
2019-08-11,Nothing But Thieves,,10
2019-08-11,Prateek Kuhad,,10
2019-08-11,The Neighbourhood,,9
2019-08-11,Vance Joy,,8
2019-08-11,Daft Punk,,5
2019-08-11,Ice Cube,,5
2019-08-11,Radiohead,,5
2019-08-11,Albert Hammond, Jr.,,4
2019-08-11,Gorillaz,,4
2019-08-11,Avicii,,3
2019-08-11,Guns N' Roses,,3
2019-08-11,Hozier,,3
2019-08-11,José González,,3
2019-08-11,MGMT,,3
2019-08-11,Nickelback,,3
2019-08-11,Pink Floyd,,3
2019-08-11,Ray LaMontagne,,3
2019-08-11,Bastille,,2
2019-08-11,Calvin Harris,,2
2019-08-11,Childish Gambino,,2
2019-08-11,Eminem,,2
2019-08-11,Franz Ferdinand,,2
2019-08-11,Macklemore & Ryan Lewis,,2
2019-08-11,Mumford & Sons,,2
2019-08-11,Naughty Boy,,2
2019-08-11,Passenger,,2
2019-08-11,Pixies,,2
2019-08-11,Portugal. The Man,,2
2019-08-11,R.E.M.,,2
2019-08-11,Rick Astley,,2
2019-08-11,The 1975,,2
2019-08-11,The Velvet Underground,,2
2019-08-11,Tove Lo,,2
2019-08-11,3 Doors Down,,1
2019-08-11,Afroman,,1
2019-08-11,American Authors,,1
2019-08-11,Anna Rouse,,1
2019-08-12,The Strokes,,74
2019-08-12,Kendrick Lamar,,50
2019-08-12,The Rolling Stones,,38
2019-08-12,Arctic Monkeys,,34
2019-08-12,Red Hot Chili Peppers,,32
2019-08-12,Sublime,,30
2019-08-12,The Lumineers,,27
2019-08-12,The Last Shadow Puppets,,23
2019-08-12,Tame Impala,,20
2019-08-12,Green Day,,15
2019-08-12,Julian Casablancas,,15
2019-08-12,Kodaline,,14
2019-08-12,Ice Cube,,13
2019-08-12,Foo Fighters,,11
2019-08-12,Nothing But Thieves,,10
2019-08-12,Prateek Kuhad,,10
2019-08-12,The Neighbourhood,,9
2019-08-12,Vance Joy,,8
2019-08-12,Daft Punk,,7
2019-08-12,Eminem,,6
2019-08-12,Radiohead,,5
2019-08-12,Albert Hammond, Jr.,,4
2019-08-12,Gorillaz,,4
2019-08-12,Avicii,,3
2019-08-12,Guns N' Roses,,3
2019-08-12,Hozier,,3
2019-08-12,José González,,3
2019-08-12,Macklemore & Ryan Lewis,,3
2019-08-12,MGMT,,3
2019-08-12,Nickelback,,3
2019-08-12,Pink Floyd,,3
2019-08-12,Ray LaMontagne,,3
2019-08-12,Bastille,,2
2019-08-12,Calvin Harris,,2
2019-08-12,Childish Gambino,,2
2019-08-12,Franz Ferdinand,,2
2019-08-12,Mumford & Sons,,2
2019-08-12,Naughty Boy,,2
2019-08-12,Passenger,,2
2019-08-12,Pixies,,2
2019-08-12,Portugal. The Man,,2
2019-08-12,R.E.M.,,2
2019-08-12,Rick Astley,,2
2019-08-12,The 1975,,2
2019-08-12,The Notorious B.I.G.,,2
2019-08-12,The Velvet Underground,,2
2019-08-12,Tove Lo,,2
2019-08-12,3 Doors Down,,1
2019-08-12,Afroman,,1
2019-08-12,American Authors,,1
2019-08-13,The Strokes,,76
2019-08-13,Kendrick Lamar,,54
2019-08-13,Tame Impala,,44
2019-08-13,Arctic Monkeys,,38
2019-08-13,The Rolling Stones,,38
2019-08-13,Red Hot Chili Peppers,,35
2019-08-13,Sublime,,32
2019-08-13,The Lumineers,,29
2019-08-13,The Last Shadow Puppets,,23
2019-08-13,Green Day,,15
2019-08-13,Julian Casablancas,,15
2019-08-13,Kodaline,,14
